,over_draft,credit_usage,credit_history,purpose,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
24,'no checking',10.0,'critical/other existing credit',furniture/equipment,'no known savings','1<=X<4',2.0,'male mar/wid',none,1.0,car,26.0,none,own,2.0,skilled,1.0,none,no,0
25,'<0',6.0,'existing paid',furniture/equipment,'<100','1<=X<4',1.0,'male single',none,2.0,'real estate',36.0,bank,own,1.0,'unskilled resident',1.0,yes,yes,0
26,'no checking',6.0,'no credits/all paid',radio/tv,'<100','>=7',4.0,'male mar/wid',none,4.0,car,39.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
27,'>=200',12.0,'all paid',radio/tv,'>=1000','1<=X<4',3.0,'female div/dep/mar',none,3.0,'real estate',42.0,none,rent,2.0,skilled,1.0,none,yes,0
28,'0<=X<200',7.0,'existing paid',radio/tv,'<100','1<=X<4',3.0,'male single',guarantor,2.0,'real estate',34.0,none,own,1.0,skilled,1.0,none,yes,0
29,'<0',60.0,'delayed previously',business,'<100','>=7',3.0,'male single',none,4.0,'no known property',63.0,none,own,2.0,skilled,1.0,yes,yes,1
30,'0<=X<200',18.0,'existing paid',business,'>=1000','<1',3.0,'male mar/wid',none,3.0,'real estate',36.0,bank,own,1.0,skilled,1.0,yes,yes,0
31,'<0',24.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'male single',none,2.0,car,27.0,stores,own,1.0,skilled,1.0,none,yes,0
32,'0<=X<200',18.0,'existing paid','new car','100<=X<500','1<=X<4',2.0,'male single',none,2.0,car,30.0,none,own,2.0,skilled,1.0,yes,yes,0
33,'no checking',12.0,'critical/other existing credit',business,'no known savings','>=7',4.0,'male single',none,4.0,'no known property',57.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
34,'>=200',12.0,'existing paid',furniture/equipment,'<100','<1',4.0,'female div/dep/mar',none,1.0,'life insurance',33.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
35,'0<=X<200',45.0,'critical/other existing credit',radio/tv,'<100','<1',4.0,'male single',none,2.0,'life insurance',25.0,none,own,2.0,'unskilled resident',1.0,none,yes,1
36,'no checking',48.0,'critical/other existing credit',education,'<100','1<=X<4',1.0,'male single',none,3.0,'no known property',31.0,bank,'for free',1.0,skilled,1.0,yes,yes,0
37,'>=200',18.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male single','co applicant',2.0,'real estate',37.0,stores,own,1.0,skilled,1.0,none,yes,1
38,'>=200',10.0,'existing paid','domestic appliance','<100','1<=X<4',2.0,'male single',none,2.0,car,37.0,none,own,1.0,skilled,1.0,yes,yes,0
39,'0<=X<200',9.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male single',none,3.0,'real estate',24.0,none,own,1.0,skilled,1.0,none,yes,0
40,'no checking',30.0,'existing paid',radio/tv,'500<=X<1000','>=7',4.0,'male single',none,2.0,car,30.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,0
41,'0<=X<200',12.0,'existing paid',radio/tv,'500<=X<1000','1<=X<4',3.0,'male div/sep',none,1.0,car,26.0,none,own,1.0,skilled,1.0,yes,yes,0
42,'0<=X<200',18.0,'delayed previously',repairs,'<100','1<=X<4',2.0,'male single',none,4.0,'real estate',44.0,none,own,1.0,'unskilled resident',2.0,yes,yes,0
43,'<0',30.0,'critical/other existing credit','used car','100<=X<500','4<=X<7',1.0,'male mar/wid',none,4.0,car,24.0,none,rent,2.0,skilled,1.0,none,yes,0
44,'<0',48.0,'critical/other existing credit','used car','<100','>=7',4.0,'female div/dep/mar',none,4.0,'no known property',58.0,stores,'for free',2.0,'unskilled resident',1.0,none,yes,1
45,'no checking',11.0,'critical/other existing credit','new car','<100','<1',4.0,'female div/dep/mar',none,4.0,car,35.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,0
46,'no checking',36.0,'existing paid',radio/tv,'500<=X<1000','>=7',4.0,'male single',none,4.0,car,39.0,none,own,1.0,skilled,1.0,none,yes,0
47,'<0',6.0,'existing paid','used car','500<=X<1000',unemployed,1.0,'female div/dep/mar',none,2.0,'life insurance',23.0,none,rent,1.0,'unemp/unskilled non res',1.0,yes,yes,0
48,'no checking',11.0,'critical/other existing credit','new car','<100','1<=X<4',1.0,'male single',none,4.0,'life insurance',39.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
49,'no checking',12.0,'existing paid',radio/tv,'100<=X<500','1<=X<4',4.0,'female div/dep/mar','co applicant',2.0,'real estate',28.0,none,own,1.0,skilled,1.0,none,yes,0
50,'0<=X<200',24.0,'delayed previously',furniture/equipment,'no known savings','<1',4.0,'male single',none,2.0,'life insurance',29.0,bank,own,1.0,'unskilled resident',1.0,none,yes,0
51,'0<=X<200',27.0,'delayed previously','used car','<100','>=7',1.0,'male single',none,2.0,car,30.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
52,'no checking',12.0,'existing paid',radio/tv,'<100','1<=X<4',3.0,'male single',none,2.0,car,25.0,none,own,1.0,skilled,1.0,none,yes,0
53,'no checking',18.0,'existing paid','used car','no known savings','1<=X<4',2.0,'male single',none,1.0,'life insurance',31.0,none,own,1.0,skilled,1.0,yes,yes,0
54,'0<=X<200',36.0,'delayed previously','new car','<100','>=7',4.0,'male single',none,4.0,'no known property',57.0,bank,'for free',2.0,skilled,1.0,yes,yes,1
55,'no checking',6.0,'all paid','new car','no known savings','1<=X<4',1.0,'male single',guarantor,2.0,'real estate',26.0,stores,own,1.0,'unskilled resident',2.0,none,yes,0
56,'0<=X<200',12.0,'existing paid',radio/tv,'no known savings',unemployed,2.0,'male single',none,1.0,'no known property',52.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
57,'no checking',36.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',2.0,'female div/dep/mar',none,2.0,car,31.0,stores,own,2.0,skilled,1.0,none,yes,0
58,'>=200',18.0,'existing paid','new car','<100','>=7',3.0,'female div/dep/mar',none,2.0,car,23.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,0
59,'<0',36.0,'critical/other existing credit',furniture/equipment,'<100','<1',4.0,'female div/dep/mar','co applicant',4.0,'no known property',23.0,none,rent,2.0,'unskilled resident',1.0,yes,yes,1
60,'0<=X<200',9.0,'existing paid',business,'<100','1<=X<4',2.0,'male mar/wid',none,1.0,'real estate',27.0,bank,own,1.0,skilled,1.0,yes,yes,0
61,'0<=X<200',15.0,'critical/other existing credit',radio/tv,'no known savings','>=7',4.0,'male single',guarantor,4.0,'real estate',50.0,none,own,2.0,skilled,1.0,yes,yes,0
62,'0<=X<200',36.0,'no credits/all paid',business,'<100','>=7',4.0,'male single',none,4.0,'no known property',61.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
63,'0<=X<200',48.0,'no credits/all paid',business,'<100','1<=X<4',2.0,'male single',none,2.0,car,25.0,none,own,1.0,skilled,1.0,yes,yes,1
64,'no checking',24.0,'existing paid',radio/tv,'<100','<1',4.0,'female div/dep/mar',none,4.0,'life insurance',26.0,none,own,1.0,skilled,1.0,yes,yes,0
65,'no checking',27.0,'existing paid',repairs,'no known savings','>=7',4.0,'male single',none,4.0,'life insurance',48.0,none,own,4.0,skilled,2.0,yes,yes,0
66,'no checking',12.0,'existing paid',radio/tv,'<100','<1',2.0,'female div/dep/mar',none,2.0,car,29.0,bank,own,1.0,skilled,1.0,none,yes,0
67,'0<=X<200',12.0,'existing paid','new car','>=1000','1<=X<4',4.0,'male mar/wid',none,1.0,'real estate',22.0,none,own,1.0,skilled,1.0,none,yes,0
68,'no checking',36.0,'existing paid',education,'<100','1<=X<4',4.0,'male single',none,4.0,'no known property',37.0,stores,'for free',1.0,skilled,1.0,yes,yes,1
69,'no checking',36.0,'existing paid',radio/tv,'no known savings','1<=X<4',4.0,'female div/dep/mar',none,4.0,car,25.0,none,own,1.0,skilled,1.0,none,yes,0
70,'no checking',36.0,'existing paid','used car','<100','1<=X<4',1.0,'female div/dep/mar',none,2.0,'life insurance',30.0,bank,own,1.0,skilled,1.0,none,yes,0
71,'no checking',7.0,'critical/other existing credit',radio/tv,'no known savings','>=7',4.0,'male single',none,2.0,'life insurance',46.0,none,rent,2.0,'unskilled resident',1.0,yes,yes,0
72,'<0',8.0,'critical/other existing credit',other,'<100','>=7',3.0,'male single',none,4.0,'no known property',51.0,bank,'for free',2.0,'high qualif/self emp/mgmt',2.0,yes,yes,0
73,'0<=X<200',42.0,'critical/other existing credit',business,'<100','4<=X<7',2.0,'female div/dep/mar',none,1.0,'real estate',41.0,bank,own,2.0,'unskilled resident',1.0,none,yes,0
74,'<0',36.0,'existing paid',education,'no known savings','>=7',4.0,'male single',none,4.0,'no known property',40.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
75,'<0',12.0,'critical/other existing credit','used car','<100','>=7',4.0,'male single',none,4.0,'no known property',66.0,none,'for free',2.0,'high qualif/self emp/mgmt',1.0,none,yes,0
76,'<0',42.0,'existing paid',radio/tv,'<100','<1',4.0,'male single',none,3.0,car,34.0,none,own,1.0,skilled,1.0,none,yes,1
77,'0<=X<200',11.0,'delayed previously',radio/tv,'<100','4<=X<7',2.0,'male single',none,4.0,'life insurance',51.0,none,own,1.0,skilled,1.0,none,yes,0
78,'no checking',54.0,'no credits/all paid','used car','no known savings','1<=X<4',2.0,'male single',none,2.0,'life insurance',39.0,none,own,1.0,'unskilled resident',2.0,none,yes,0
79,'0<=X<200',30.0,'existing paid',furniture/equipment,'<100','<1',2.0,'male mar/wid',none,1.0,'life insurance',22.0,none,own,1.0,skilled,1.0,none,yes,0
80,'no checking',24.0,'existing paid',radio/tv,'no known savings','<1',1.0,'female div/dep/mar',none,1.0,car,44.0,none,own,2.0,skilled,1.0,yes,yes,1
81,'no checking',15.0,'existing paid',radio/tv,'500<=X<1000','>=7',4.0,'male single',none,3.0,'life insurance',47.0,stores,own,1.0,skilled,1.0,yes,yes,0
82,'no checking',18.0,'existing paid',business,'100<=X<500','1<=X<4',3.0,'female div/dep/mar',none,4.0,'life insurance',24.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
83,'<0',24.0,'existing paid',other,'<100','>=7',4.0,'female div/dep/mar',guarantor,4.0,'real estate',58.0,none,own,1.0,'unskilled resident',1.0,yes,yes,0
84,'<0',10.0,'existing paid',radio/tv,'<100','>=7',3.0,'male single',none,4.0,'real estate',52.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
85,'no checking',12.0,'critical/other existing credit',business,'<100','1<=X<4',4.0,'female div/dep/mar',guarantor,2.0,'real estate',29.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
86,'0<=X<200',18.0,'critical/other existing credit',furniture/equipment,'<100','<1',4.0,'female div/dep/mar',none,1.0,'life insurance',27.0,none,own,2.0,skilled,1.0,none,yes,0
87,'0<=X<200',36.0,'existing paid',education,'100<=X<500','1<=X<4',1.0,'male single',none,4.0,'no known property',47.0,none,'for free',1.0,skilled,2.0,yes,yes,1
88,'<0',18.0,'existing paid','new car','100<=X<500','4<=X<7',4.0,'male single',none,3.0,car,30.0,none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,yes,0
89,'<0',12.0,'no credits/all paid',repairs,'<100','4<=X<7',4.0,'male single',none,3.0,'real estate',28.0,none,own,2.0,skilled,1.0,none,yes,1
90,'no checking',12.0,'critical/other existing credit',radio/tv,'<100','>=7',4.0,'male single',none,4.0,'real estate',56.0,none,own,1.0,skilled,1.0,none,yes,0
91,'<0',12.0,'critical/other existing credit','used car','<100','>=7',4.0,'male single',none,3.0,'real estate',54.0,none,own,1.0,skilled,1.0,none,yes,0
92,'no checking',12.0,'critical/other existing credit',radio/tv,'no known savings','>=7',4.0,'female div/dep/mar',none,3.0,'life insurance',33.0,bank,own,1.0,'unskilled resident',2.0,none,yes,1
93,'>=200',24.0,'critical/other existing credit',furniture/equipment,'no known savings','>=7',4.0,'male single','co applicant',4.0,'no known property',20.0,none,rent,2.0,skilled,1.0,none,yes,0
94,'0<=X<200',12.0,'existing paid','new car','>=1000','>=7',4.0,'male single',none,4.0,'real estate',54.0,none,own,1.0,skilled,1.0,yes,yes,0
95,'0<=X<200',54.0,'no credits/all paid',business,'<100','<1',3.0,'male single',none,4.0,'no known property',58.0,none,rent,1.0,skilled,1.0,yes,yes,1
96,'no checking',12.0,'critical/other existing credit',education,'no known savings','4<=X<7',4.0,'female div/dep/mar',none,2.0,car,61.0,none,own,1.0,skilled,1.0,none,yes,0
97,'0<=X<200',18.0,'existing paid',business,'100<=X<500','1<=X<4',4.0,'male single',none,4.0,car,34.0,none,own,1.0,skilled,1.0,none,yes,0
98,'0<=X<200',36.0,'critical/other existing credit',radio/tv,'<100','>=7',4.0,'male single',none,4.0,'real estate',36.0,none,own,1.0,skilled,1.0,none,yes,0
99,'0<=X<200',20.0,'delayed previously','used car','no known savings','4<=X<7',3.0,'male single',none,4.0,'life insurance',36.0,bank,rent,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,0
100,'no checking',24.0,'existing paid','new car','100<=X<500','>=7',4.0,'male mar/wid',none,4.0,'real estate',41.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
101,'0<=X<200',36.0,'existing paid',radio/tv,'<100','4<=X<7',4.0,'male single',none,4.0,car,24.0,none,rent,1.0,skilled,1.0,none,yes,0
102,'no checking',6.0,'delayed previously',radio/tv,'<100','1<=X<4',3.0,'female div/dep/mar',none,2.0,'real estate',24.0,none,own,1.0,skilled,1.0,none,yes,0
103,'0<=X<200',9.0,'critical/other existing credit',furniture/equipment,'<100','4<=X<7',4.0,'male single',none,3.0,car,35.0,none,rent,1.0,skilled,1.0,yes,yes,0
104,'no checking',12.0,'existing paid','used car','no known savings','<1',2.0,'male mar/wid',none,4.0,car,26.0,none,rent,1.0,skilled,1.0,yes,yes,0
105,'0<=X<200',24.0,'critical/other existing credit',other,'<100','1<=X<4',2.0,'male single','co applicant',3.0,car,39.0,none,own,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,1
106,'no checking',18.0,'all paid','new car','<100','>=7',2.0,'male single',none,4.0,'no known property',39.0,bank,own,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,1
107,'0<=X<200',12.0,'existing paid','new car','<100','4<=X<7',2.0,'male single',none,2.0,car,32.0,none,own,1.0,skilled,1.0,none,yes,0
108,'<0',24.0,'existing paid',furniture/equipment,'no known savings','<1',1.0,'female div/dep/mar',none,2.0,'life insurance',30.0,none,own,1.0,skilled,1.0,yes,no,0
109,'0<=X<200',14.0,'existing paid',business,'500<=X<1000','>=7',1.0,'male mar/wid',none,2.0,'real estate',35.0,none,own,1.0,skilled,1.0,yes,yes,0
110,'0<=X<200',6.0,'delayed previously',business,'100<=X<500','>=7',1.0,'male div/sep',none,2.0,car,31.0,bank,own,2.0,skilled,2.0,none,yes,0
111,'>=200',15.0,'existing paid',education,'<100','<1',4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,none,rent,1.0,skilled,1.0,yes,yes,0
112,'0<=X<200',18.0,'existing paid','new car','<100','4<=X<7',3.0,'male single',none,3.0,'real estate',28.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
113,'no checking',36.0,'critical/other existing credit','new car','<100','1<=X<4',4.0,'female div/dep/mar',none,2.0,'real estate',25.0,stores,own,2.0,skilled,1.0,yes,yes,1
114,'<0',12.0,'existing paid',radio/tv,'500<=X<1000','>=7',3.0,'male mar/wid',none,1.0,'real estate',35.0,none,own,1.0,skilled,1.0,none,yes,0
115,'no checking',48.0,'critical/other existing credit',radio/tv,'no known savings','>=7',4.0,'male single',none,1.0,'real estate',47.0,none,own,1.0,skilled,1.0,yes,yes,0
116,'<0',42.0,'existing paid',radio/tv,'no known savings','4<=X<7',4.0,'female div/dep/mar',none,3.0,car,30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
117,'<0',10.0,'critical/other existing credit',furniture/equipment,'no known savings','<1',2.0,'female div/dep/mar','co applicant',3.0,'real estate',27.0,none,rent,2.0,skilled,1.0,none,no,0
118,'<0',33.0,'critical/other existing credit',furniture/equipment,'500<=X<1000','1<=X<4',1.0,'female div/dep/mar',none,4.0,car,23.0,none,own,2.0,skilled,1.0,none,yes,1
119,'0<=X<200',12.0,'critical/other existing credit','new car','500<=X<1000','4<=X<7',3.0,'male div/sep',none,3.0,car,36.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
120,'<0',21.0,'existing paid',radio/tv,'<100','1<=X<4',3.0,'female div/dep/mar',none,2.0,'real estate',25.0,none,own,2.0,skilled,1.0,yes,yes,1
121,'no checking',24.0,'critical/other existing credit','used car','<100','>=7',4.0,'female div/dep/mar',none,2.0,car,41.0,none,rent,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
122,'no checking',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',3.0,'male single',none,2.0,'real estate',24.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
123,'>=200',10.0,'critical/other existing credit','new car','<100','>=7',4.0,'male single',none,4.0,'no known property',63.0,none,'for free',2.0,skilled,1.0,yes,yes,0
124,'0<=X<200',18.0,'existing paid',furniture/equipment,'no known savings','<1',4.0,'female div/dep/mar',none,3.0,'real estate',27.0,none,rent,1.0,skilled,1.0,none,yes,1
125,'<0',12.0,'critical/other existing credit','new car','<100','1<=X<4',4.0,'male single',none,2.0,'life insurance',30.0,none,own,2.0,skilled,1.0,none,yes,0
126,'<0',12.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male mar/wid',none,2.0,'real estate',40.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
127,'0<=X<200',12.0,'existing paid',repairs,'<100','1<=X<4',4.0,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,yes,1
128,'0<=X<200',12.0,'critical/other existing credit','used car','<100',unemployed,4.0,'male single',none,2.0,car,34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
129,'<0',12.0,'critical/other existing credit','new car','<100','1<=X<4',3.0,'female div/dep/mar','co applicant',2.0,'real estate',29.0,none,own,2.0,skilled,1.0,none,yes,1
130,'0<=X<200',48.0,'existing paid','new car','no known savings','4<=X<7',1.0,'female div/dep/mar',none,2.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,0
131,'<0',36.0,'delayed previously',education,'<100','1<=X<4',4.0,'male single',none,3.0,'life insurance',29.0,stores,own,1.0,skilled,1.0,yes,yes,1
132,'no checking',15.0,'existing paid',furniture/equipment,'<100','<1',2.0,'male single',none,3.0,'life insurance',27.0,bank,own,2.0,'unskilled resident',1.0,none,yes,0
133,'no checking',18.0,'existing paid',furniture/equipment,'<100','1<=X<4',4.0,'male single',none,4.0,'no known property',47.0,bank,'for free',2.0,skilled,1.0,none,yes,0
134,'no checking',60.0,'existing paid',radio/tv,'100<=X<500','4<=X<7',2.0,'female div/dep/mar',none,4.0,'real estate',21.0,none,own,1.0,skilled,1.0,yes,yes,0
135,'no checking',12.0,'critical/other existing credit',radio/tv,'no known savings','>=7',4.0,'female div/dep/mar',none,2.0,'real estate',38.0,none,own,2.0,skilled,1.0,yes,yes,0
136,'no checking',27.0,'delayed previously','used car','>=1000','1<=X<4',2.0,'male single',none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,0
137,'0<=X<200',12.0,'existing paid',radio/tv,'500<=X<1000','1<=X<4',4.0,'male single',none,3.0,'real estate',66.0,none,own,1.0,'unskilled resident',1.0,none,yes,1
138,'0<=X<200',15.0,'critical/other existing credit',radio/tv,'no known savings','4<=X<7',4.0,'male single',guarantor,2.0,'real estate',35.0,bank,own,3.0,skilled,1.0,yes,yes,0
139,'>=200',12.0,'existing paid',radio/tv,'<100','1<=X<4',2.0,'female div/dep/mar',none,2.0,car,44.0,none,rent,1.0,'unskilled resident',1.0,yes,yes,0
140,'>=200',6.0,'existing paid','new car','>=1000','<1',2.0,'male mar/wid',none,2.0,'real estate',27.0,none,own,1.0,'unemp/unskilled non res',1.0,none,no,0
141,'0<=X<200',36.0,'existing paid',radio/tv,'<100','<1',4.0,'female div/dep/mar',none,1.0,'no known property',30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
142,'<0',27.0,'existing paid',radio/tv,'<100','1<=X<4',3.0,'male single',none,2.0,car,27.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,0
143,'<0',18.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'male single',none,2.0,car,22.0,none,own,1.0,skilled,1.0,none,yes,1
144,'no checking',21.0,'critical/other existing credit',furniture/equipment,'<100','<1',4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,none,own,1.0,skilled,1.0,yes,yes,0
145,'0<=X<200',48.0,'all paid',business,'100<=X<500','4<=X<7',4.0,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,yes,0
146,'<0',6.0,'critical/other existing credit','new car','<100','>=7',1.0,'female div/dep/mar',none,4.0,'no known property',39.0,none,own,2.0,skilled,1.0,yes,yes,0
147,'no checking',12.0,'critical/other existing credit','new car','100<=X<500','4<=X<7',4.0,'female div/dep/mar',none,3.0,car,51.0,none,own,2.0,skilled,1.0,yes,yes,0
148,'<0',36.0,'critical/other existing credit',furniture/equipment,'<100','1<=X<4',3.0,'male single',guarantor,2.0,'life insurance',28.0,none,own,2.0,skilled,1.0,none,yes,0
149,'no checking',18.0,'critical/other existing credit',radio/tv,'>=1000','>=7',4.0,'male single',none,4.0,car,46.0,none,own,2.0,skilled,1.0,none,yes,0
150,'no checking',6.0,'existing paid',radio/tv,'100<=X<500','>=7',2.0,'male single',none,4.0,'no known property',42.0,bank,'for free',1.0,skilled,2.0,yes,yes,0
151,'no checking',10.0,'existing paid',radio/tv,'<100','1<=X<4',1.0,'male single',none,4.0,'life insurance',38.0,none,own,1.0,skilled,1.0,yes,no,0
152,'>=200',36.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male single',none,1.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,0
153,'0<=X<200',24.0,'critical/other existing credit','used car','>=1000','>=7',2.0,'female div/dep/mar',none,4.0,'no known property',29.0,none,rent,1.0,skilled,1.0,none,yes,0
154,'0<=X<200',24.0,'delayed previously',business,'100<=X<500','4<=X<7',4.0,'male single',none,4.0,car,36.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
155,'<0',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'female div/dep/mar',none,4.0,car,20.0,none,rent,1.0,skilled,1.0,none,yes,1
156,'<0',9.0,'critical/other existing credit',repairs,'100<=X<500','>=7',3.0,'male single',guarantor,4.0,'real estate',48.0,none,own,2.0,skilled,2.0,none,no,0
157,'<0',12.0,'all paid',retraining,'<100','>=7',4.0,'male mar/wid',none,1.0,car,45.0,bank,own,1.0,'unskilled resident',1.0,none,yes,0
158,'0<=X<200',24.0,'existing paid','new car','100<=X<500','4<=X<7',2.0,'male single',none,3.0,car,38.0,bank,own,2.0,skilled,1.0,yes,yes,0
159,'no checking',6.0,'critical/other existing credit',radio/tv,'no known savings','1<=X<4',1.0,'male single',none,2.0,'real estate',34.0,none,own,2.0,'unskilled resident',2.0,none,yes,0
160,'no checking',24.0,'critical/other existing credit',radio/tv,'100<=X<500','>=7',3.0,'male single',none,4.0,'real estate',36.0,none,own,1.0,skilled,2.0,yes,yes,0
